value,total_count,target_count,non_target_count,percent_target_within_group,percent_of_all_records,percent_of_all_target,support_warning
AASDB,2,2,0,100.0,0.004951107810372571,0.004951107810372571,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
BERKELEY-LAB,147,147,0,100.0,0.36390642406238394,0.36390642406238394,
BIRMINGHAM-UHPLC-MS-POS,14,14,0,100.0,0.034657754672607996,0.034657754672607996,LOW_TOTAL_SUPPORT
BMDMS-NP,434,434,0,100.0,1.074390394850848,1.074390394850848,
DMIM-DRUG-METABOLITE-LIBRARY,174,174,0,100.0,0.4307463795024137,0.4307463795024137,
ECRFS_DB,7,7,0,100.0,0.017328877336303998,0.017328877336303998,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-COLLECTIONS-PESTICIDES-POSITIVE,10,10,0,100.0,0.024755539051862854,0.024755539051862854,LOW_TOTAL_SUPPORT
GNPS-ION-MOBILITY-LIBRARY,1891,1891,0,100.0,4.681272434707266,4.681272434707266,
GNPS-LIBRARY,29,29,0,100.0,0.07179106325040228,0.07179106325040228,LOW_TOTAL_SUPPORT
GNPS-NIH-CLINICALCOLLECTION1,32,32,0,100.0,0.07921772496596113,0.07921772496596113,
GNPS-NIH-CLINICALCOLLECTION2,1,1,0,100.0,0.0024755539051862854,0.0024755539051862854,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-NIH-NATURALPRODUCTSLIBRARY,28,28,0,100.0,0.06931550934521599,0.06931550934521599,LOW_TOTAL_SUPPORT
GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE,57,57,0,100.0,0.14110657259561826,0.14110657259561826,
GNPS-NIST14-MATCHES,22,22,0,100.0,0.05446218591409828,0.05446218591409828,LOW_TOTAL_SUPPORT
GNPS-REFRAME-DRUG-CCS-LIBRARY,345,345,0,100.0,0.8540660972892685,0.8540660972892685,
GNPS-SCIEX-LIBRARY,1,1,0,100.0,0.0024755539051862854,0.0024755539051862854,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
GNPS-SELLECKCHEM-FDA-PART1,153,153,0,100.0,0.37875974749350166,0.37875974749350166,
GNPS-SELLECKCHEM-FDA-PART2,56,56,0,100.0,0.13863101869043198,0.13863101869043198,
HMDB,2,2,0,100.0,0.004951107810372571,0.004951107810372571,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MASSBANK,192,192,0,100.0,0.4753063497957668,0.4753063497957668,
MASSBANKEU,6,6,0,100.0,0.014853323431117713,0.014853323431117713,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MCE-DRUG,3142,3142,0,100.0,7.778190370095309,7.778190370095309,
MMV_POSITIVE,11,11,0,100.0,0.02723109295704914,0.02723109295704914,LOW_TOTAL_SUPPORT
MONA,17,17,0,100.0,0.04208441638816685,0.04208441638816685,LOW_TOTAL_SUPPORT
MSNLIB-NEGATIVE,11458,11458,0,100.0,28.36489664562446,28.36489664562446,
MSNLIB-POSITIVE,18093,18093,0,100.0,44.79019680653546,44.79019680653546,
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-1,1,1,0,100.0,0.0024755539051862854,0.0024755539051862854,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-2,1,1,0,100.0,0.0024755539051862854,0.0024755539051862854,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-3,8,8,0,100.0,0.019804431241490283,0.019804431241490283,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-4,17,17,0,100.0,0.04208441638816685,0.04208441638816685,LOW_TOTAL_SUPPORT
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-5,17,17,0,100.0,0.04208441638816685,0.04208441638816685,LOW_TOTAL_SUPPORT
MULTIPLEX-SYNTHESIS-LIBRARY-ALL-PARTITION-6,5,5,0,100.0,0.012377769525931427,0.012377769525931427,LOW_TOTAL_SUPPORT|LOW_TARGET_SUPPORT
REFRAME-NEGATIVE-LIBRARY,598,598,0,100.0,1.4803812353013988,1.4803812353013988,
REFRAME-POSITIVE-LIBRARY,1304,1304,0,100.0,3.2281222923629165,3.2281222923629165,
UNKNOWN,1624,1624,0,100.0,4.020299542022528,4.020299542022528,
WFSR-LIBRARY,496,496,0,100.0,1.2278747369723975,1.2278747369723975,
TOTAL_RECORDS,40395,40395,0,100.0,100.0,100.0,
TOTAL_ASSIGNMENTS,40395,40395,0,100.0,100.0,100.0,
